Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,44.380001,45.369999,44.325001,44.990002,39.844662,5436592
2022-01-04,45.224998,45.575001,45.000000,45.369999,40.181198,5584211
2022-01-05,45.570000,46.290001,45.459999,45.915001,40.663872,5641479
2022-01-06,45.389999,46.430000,45.220001,45.935001,40.681580,5444172
2022-01-07,46.275002,46.705002,46.090000,46.459999,41.146538,5732405
2022-01-10,46.549999,47.090000,46.410000,46.740002,41.394520,5681747
2022-01-11,46.820000,47.639999,46.494999,47.599998,42.156158,6505491
2022-01-12,48.049999,49.099998,48.020000,49.060001,43.449188,9331583
2022-01-13,48.825001,49.055000,48.320000,48.805000,43.223347,6197728
2022-01-14,48.840000,49.730000,48.674999,49.535000,43.869862,6533053
2022-01-17,49.599998,49.950001,49.419998,49.674999,43.993855,3805535
2022-01-18,49.900002,50.830002,49.639999,50.419998,44.653641,8906341
2022-01-19,50.509998,51.389999,50.340000,51.259998,45.397579,8139395
2022-01-20,51.349998,51.470001,50.020000,50.680000,44.883915,6354172
2022-01-21,50.119999,50.470001,49.174999,49.619999,43.945145,9987592
2022-01-24,49.619999,49.974998,47.650002,47.915001,42.435135,9884998
2022-01-25,48.500000,49.195000,47.980000,49.105000,43.489040,8177125
2022-01-26,49.895000,51.360001,49.720001,51.070000,45.229309,10006277
2022-01-27,50.299999,52.490002,50.020000,51.740002,45.822678,8553119
2022-01-28,51.860001,51.970001,50.490002,51.240002,45.379871,9191640
2022-01-31,51.549999,51.639999,50.040001,50.220001,44.476524,7585497
2022-02-01,50.580002,51.360001,50.330002,51.299999,45.433002,5651831
2022-02-02,51.200001,51.349998,50.220001,50.250000,44.503094,5459094
2022-02-03,50.349998,50.709999,49.305000,49.709999,44.024845,13793140
2022-02-04,50.200001,51.139999,50.099998,50.970001,45.140743,7789174
2022-02-07,51.040001,51.290001,50.490002,51.230000,45.371006,5365826
2022-02-08,51.450001,52.369999,51.220001,51.290001,45.424152,6931199
2022-02-09,51.070000,52.459999,51.000000,52.400002,46.407204,6436455
2022-02-10,52.209999,52.430000,51.410000,51.930000,45.990952,6299551
2022-02-11,51.599998,52.500000,51.430000,52.250000,46.274357,5570067
2022-02-14,52.000000,52.270000,50.980000,51.130001,45.282448,7999873
2022-02-15,51.250000,51.900002,50.110001,51.000000,45.167316,7559606
2022-02-16,50.720001,51.630001,50.549999,51.419998,45.539276,4714726
2022-02-17,50.900002,51.430000,50.220001,50.650002,44.857346,5859702
2022-02-18,50.639999,51.150002,50.180000,50.660000,44.866196,6486390
2022-02-21,50.500000,50.919998,49.735001,49.939999,44.228542,6145128
2022-02-22,49.259998,50.509998,49.160000,49.884998,44.179832,6588023
2022-02-23,49.834999,50.439999,49.445000,49.535000,43.869862,5897010
2022-02-24,48.650002,49.174999,47.355000,47.619999,42.173874,18829075
2022-02-25,47.430000,48.549999,47.355000,48.270000,42.749531,10597115
2022-02-28,47.099998,47.130001,44.750000,45.590000,40.376041,17814292
2022-03-01,45.860001,46.209999,43.970001,44.349998,39.277851,14935059
2022-03-02,44.360001,48.000000,44.275002,47.974998,42.488270,19496825
2022-03-03,48.459999,49.005001,46.174999,46.174999,40.894135,10922562
2022-03-04,45.880001,46.055000,44.279999,44.500000,39.410702,10794060
2022-03-07,43.965000,45.490002,43.599998,44.889999,39.756092,13924706
2022-03-08,45.084999,46.520000,44.945000,45.735001,40.504456,14726942
2022-03-09,46.209999,46.770000,45.485001,46.224998,40.938416,14321264
2022-03-10,46.200001,46.820000,45.380001,45.700001,40.473457,12006495
2022-03-11,46.349998,46.564999,45.520000,45.590000,40.376041,10974577
2022-03-14,45.875000,46.345001,45.404999,45.750000,40.517746,7542301
2022-03-15,45.095001,45.799999,44.334999,45.755001,40.522167,9011242
2022-03-16,46.090000,46.509998,45.305000,45.540001,40.331753,9554064
2022-03-17,45.615002,46.224998,45.415001,46.009998,40.748001,9187133
2022-03-18,45.779999,46.090000,44.959999,45.505001,40.300755,20405549
2022-03-21,45.680000,46.380001,45.634998,45.775002,40.539883,7544828
2022-03-22,46.000000,46.250000,45.685001,45.980000,41.317162,9074292
2022-03-23,45.599998,46.450001,45.599998,46.334999,41.636162,6638858
2022-03-24,46.400002,47.435001,46.369999,46.685001,41.950665,7239142
2022-03-25,46.500000,47.615002,45.884998,47.599998,42.772873,6296989
2022-03-28,47.055000,48.360001,46.689999,46.689999,41.955158,7343974
2022-03-29,46.915001,47.875000,45.430000,45.810001,41.164398,9838729
2022-03-30,46.365002,47.209999,46.150002,46.965000,42.202274,6483258
2022-03-31,46.435001,46.810001,45.910000,46.029999,41.362091,6495026
2022-04-01,45.965000,46.974998,45.639999,46.755001,42.013569,6071152
2022-04-04,47.215000,47.275002,46.169998,46.645000,41.914719,4690279
2022-04-05,47.000000,47.060001,45.705002,46.299999,41.604713,5262056
