Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,56.267448,56.994980,55.990986,56.311100,51.952438,168645
2022-01-04,56.631214,58.435497,56.427505,58.260887,53.751305,302086
2022-01-05,58.450047,58.973873,58.100830,58.973873,54.409103,266114
2022-01-06,58.493698,60.006969,57.707962,59.206680,54.623890,492201
2022-01-07,59.293987,59.366741,58.129932,58.231789,53.724457,286689
2022-01-10,58.420944,59.628651,58.028076,58.682858,54.140614,312969
2022-01-11,59.148479,59.439491,58.581001,58.770161,54.221161,227181
2022-01-12,59.017525,59.148479,58.362743,58.362743,53.845276,213243
2022-01-13,58.202686,59.439491,57.649761,59.439491,54.838684,324736
2022-01-14,58.944771,59.992420,58.741062,59.992420,55.348812,399867
2022-01-17,60.021519,60.152477,59.293987,59.570450,54.959503,250015
2022-01-18,59.614101,60.952763,59.439491,60.574444,55.885784,372215
2022-01-19,60.312534,61.258327,60.167027,61.258327,56.516735,343151
2022-01-20,61.403835,61.622093,60.341637,61.505688,56.744946,328651
2022-01-21,60.647198,61.316528,60.210678,61.272877,56.530155,399217
2022-01-24,60.763603,61.258327,58.901119,59.454044,54.852108,404055
2022-01-25,59.905113,59.948769,58.915668,59.599548,54.986351,502397
2022-01-26,60.079723,61.927658,60.079723,60.632648,55.939484,283019
2022-01-27,59.803261,60.312534,58.493698,60.210678,55.550179,401123
2022-01-28,60.399837,60.458038,58.522800,60.021519,55.375660,452002
2022-01-31,60.327084,60.516243,58.217236,59.686855,55.066902,632972
2022-02-01,60.021519,60.239780,59.483147,59.832359,55.201138,224689
2022-02-02,59.977867,60.094273,58.566452,58.566452,54.033218,363926
2022-02-03,58.784714,60.210678,58.784714,59.148479,54.570194,290713
2022-02-04,59.424942,59.555897,58.653755,59.104828,54.529922,340693
2022-02-07,59.293987,59.584999,58.173584,58.930222,54.368832,281904
2022-02-08,59.046623,59.774158,58.901119,59.657753,55.040047,236760
2022-02-09,60.036072,61.403835,60.036072,61.301979,56.557007,373046
2022-02-10,61.243774,63.004410,61.185574,62.378731,57.550411,434577
2022-02-11,61.738499,62.567886,61.360184,62.102264,57.295345,421931
2022-02-14,60.981865,61.505688,59.090279,61.505688,56.744946,490814
2022-02-15,61.185574,62.771599,60.821808,62.466034,57.630959,370212
2022-02-16,62.567886,63.149914,61.709396,61.825802,57.040283,303430
2022-02-17,59.745056,59.745056,57.766167,58.086281,53.590214,824047
2022-02-18,57.911674,58.610104,57.140488,58.188133,53.684185,532169
2022-02-21,58.348194,58.784714,56.194695,56.442055,52.073254,388155
2022-02-22,55.321651,57.577007,54.899685,57.096836,52.677357,498231
2022-02-23,57.184139,58.071732,56.864025,56.864025,52.462563,307203
2022-02-24,55.074291,55.641769,53.866585,54.259453,50.059593,683532
2022-02-25,54.404961,55.729073,53.502819,55.190697,50.918755,877497
2022-02-28,54.186703,54.768726,53.691978,54.637772,50.408630,513346
2022-03-01,54.448612,54.943336,51.902245,52.120506,48.086208,474739
2022-03-02,51.873142,53.197254,50.854595,53.124500,49.012493,496102
2022-03-03,53.095402,53.808384,50.432629,50.650887,46.730343,493964
2022-03-04,50.141613,50.214367,47.304234,48.031769,44.313953,553153
2022-03-07,46.809509,48.963009,45.398094,47.202377,43.548759,711648
2022-03-08,46.634903,48.511940,46.547600,47.551594,43.870945,494950
2022-03-09,49.545036,51.553028,49.210369,51.087406,47.133076,514038
2022-03-10,51.189262,51.451176,49.894253,50.578133,46.663219,348625
2022-03-11,50.840046,52.848038,50.665440,51.480274,47.495537,516344
2022-03-14,52.105953,53.444614,52.062302,52.396969,48.341270,347689
2022-03-15,52.018650,54.055744,51.858593,52.949894,48.851402,295855
2022-03-16,53.852036,55.787273,53.837486,54.448612,50.234116,650312
2022-03-17,54.856033,55.234348,53.459167,53.924789,49.750835,455984
2022-03-18,54.055744,54.099396,53.153603,54.099396,49.911930,651409
2022-03-21,54.041195,54.986988,53.939339,54.244904,50.046169,259592
2022-03-22,54.346760,55.205250,54.201252,54.812382,50.569725,226096
2022-03-23,54.768726,55.059742,53.779282,53.910236,49.737408,198739
2022-03-24,53.982990,54.390411,52.891689,53.095402,48.985645,457364
2022-03-25,52.891689,53.051746,51.742188,52.353317,48.301003,365640
2022-03-28,52.542477,53.284557,52.469723,52.469723,48.408394,209117
2022-03-29,53.139053,55.394405,53.139053,55.117943,50.851635,369782
2022-03-30,54.856033,55.219799,53.852036,54.172150,49.979050,280826
2022-03-31,54.288555,54.666874,53.037197,53.691978,49.536045,355212
2022-04-01,52.062302,52.193260,48.250027,48.613792,44.850929,1075653
2022-04-04,48.744747,49.370426,47.289680,48.293678,44.555592,560600
2022-04-05,48.235477,48.744747,46.605801,47.580696,43.897797,537245
2022-04-06,47.609798,47.944462,45.485397,47.042320,43.401093,738018
2022-04-07,47.435188,48.963009,47.376987,48.002666,44.287102,635375
2022-04-08,50.054310,51.538479,49.996105,50.636337,46.716923,779881
2022-04-11,50.272572,51.465725,49.384979,50.985554,47.039108,499083
2022-04-12,50.258018,51.160160,49.937904,50.388973,46.488705,389370
2022-04-13,50.272572,50.621784,48.773849,49.777847,45.924877,475118
2022-04-14,49.923355,51.567581,49.763294,51.203812,47.240471,335882
2022-04-19,51.276566,51.989548,50.709091,51.480274,47.495537,381692
2022-04-20,51.814941,52.862591,51.814941,52.527924,48.462093,394326
2022-04-21,52.324215,54.128498,52.207809,53.531921,49.388378,337213
2022-04-22,53.051746,53.968441,52.338764,52.338764,48.287575,353836
2022-04-25,52.193260,54.768726,51.785839,52.629780,48.556065,516886
2022-04-26,53.095402,53.502819,52.076855,52.717083,48.636608,361313
2022-04-27,52.717083,53.968441,52.367867,52.993546,48.891674,392078
2022-04-28,53.109951,53.517368,52.047752,52.280563,48.233879,373324
2022-04-29,52.396969,53.095402,52.222359,52.469723,48.408394,263123
2022-05-02,51.742188,52.076855,48.089970,51.829491,47.817722,325358
2022-05-03,52.120506,53.211807,52.018650,52.542477,48.475517,377100
2022-05-04,52.702534,52.862591,52.062302,52.178707,48.139908,285497
2022-05-05,52.717083,53.226357,51.582130,51.974998,47.951962,351077
2022-05-06,51.800388,52.178707,50.534481,50.534481,46.622948,465282
2022-05-09,50.097961,50.709091,49.108517,49.108517,45.307362,315248
2022-05-10,49.705093,49.908802,49.166718,49.384979,45.562424,262917
2022-05-11,49.937904,51.407520,49.937904,50.563583,46.649799,393016
2022-05-12,49.559586,51.043755,49.384979,51.043755,47.092800,367745
2022-05-13,51.509377,53.197254,51.305668,53.080849,48.972221,324636
2022-05-16,52.862591,53.852036,52.469723,53.415516,49.280979,239921
2022-05-17,53.575573,54.754177,53.575573,54.419510,50.207260,368495
2022-05-18,54.477715,54.521366,52.644329,52.644329,48.569485,370868
2022-05-19,52.280563,52.658878,51.291119,51.523930,47.535809,408306
2022-05-20,51.873142,52.498821,51.378422,51.858593,47.844570,248299
2022-05-23,52.266010,52.644329,51.858593,52.455170,48.394970,215804
2022-05-24,52.018650,53.299110,51.756737,52.222359,48.180176,301616
2022-05-25,50.563583,50.563583,49.064865,49.661442,45.817486,685536
2022-05-26,49.646893,51.727638,49.632339,51.451176,47.468685,375542
2022-05-27,51.582130,52.687981,51.436623,52.251461,48.207031,255971
2022-05-30,52.324215,53.240906,51.887695,52.018650,47.992237,250017
2022-05-31,51.858593,51.858593,50.432629,50.519932,46.609524,397705
